COUNTRY,YEAR,SEX,AGE,SUICIDE_NO,POPULATION,SUICIDES/100K_POPULATION,GDP_FOR_YEAR,GDP_PER_CAPITA,GENERATION,CO2_EMISSIONS,CONSUMER_PRICE_INDEX,TOTAL_LABOUR_FORCE
Russian Federation,1989,Male,75+ years,1393,1349100,103.25,506500173960,3740,G.I. Generation,2163530,0.054,74515335
Russian Federation,1989,Male,35-54 years,12030,18058500,66.62,506500173960,3740,Silent,2163530,0.054,74515335
Russian Federation,1989,Male,55-74 years,6250,9383700,66.6,506500173960,3740,G.I. Generation,2163530,0.054,74515335
Russian Federation,1989,Male,25-34 years,6856,12748800,53.78,506500173960,3740,Boomers,2163530,0.054,74515335
Russian Federation,1989,Female,75+ years,1677,4738100,35.39,506500173960,3740,G.I. Generation,2163530,0.000,74515335
Russian Federation,1989,Male,15-24 years,2581,10073900,25.62,506500173960,3740,Generation X,2163530,0.054,74515335
Russian Federation,1989,Female,55-74 years,3042,15522500,19.6,506500173960,3740,G.I. Generation,2163530,0.000,74515335
Russian Federation,1989,Female,35-54 years,2326,19316700,12.04,506500173960,3740,Silent,2163530,0.000,74515335
Russian Federation,1989,Female,25-34 years,827,12470000,6.63,506500173960,3740,Boomers,2163530,0.000,74515335
Russian Federation,1989,Female,15-24 years,628,9650700,6.51,506500173960,3740,Generation X,2163530,0.000,74515335
Russian Federation,1989,Male,5-14 years,263,11233200,2.34,506500173960,3740,Generation X,2163530,0.054,74515335
Russian Federation,1989,Female,5-14 years,48,10898600,0.44,506500173960,3740,Generation X,2163530,0.000,74515335
Russian Federation,1990,Male,75+ years,1366,1382500,98.81,516814274022,3789,G.I. Generation,2163530,0.054,74840658
Russian Federation,1990,Male,35-54 years,12517,18495100,67.68,516814274022,3789,Silent,2163530,0.054,74840658
Russian Federation,1990,Male,55-74 years,6401,9577500,66.83,516814274022,3789,G.I. Generation,2163530,0.054,74840658
Russian Federation,1990,Male,25-34 years,6868,12477900,55.04,516814274022,3789,Boomers,2163530,0.054,74840658
Russian Federation,1990,Female,75+ years,1608,4847400,33.17,516814274022,3789,G.I. Generation,2163530,0.000,74840658
Russian Federation,1990,Male,15-24 years,2874,10059700,28.57,516814274022,3789,Generation X,2163530,0.054,74840658
Russian Federation,1990,Female,55-74 years,3064,15534000,19.72,516814274022,3789,G.I. Generation,2163530,0.000,74840658
Russian Federation,1990,Female,35-54 years,2467,19730400,12.5,516814274022,3789,Silent,2163530,0.000,74840658
Russian Federation,1990,Female,25-34 years,910,12197600,7.46,516814274022,3789,Boomers,2163530,0.000,74840658
Russian Federation,1990,Female,15-24 years,641,9649700,6.64,516814274022,3789,Generation X,2163530,0.000,74840658
Russian Federation,1990,Male,5-14 years,260,11397000,2.28,516814274022,3789,Generation X,2163530,0.054,74840658
Russian Federation,1990,Female,5-14 years,52,11049400,0.47,516814274022,3789,Generation X,2163530,0.000,74840658
Russian Federation,1991,Male,75+ years,1326,1371000,96.72,517962962963,3773,G.I. Generation,2136440,0.054,75175592
Russian Federation,1991,Male,35-54 years,12746,18782900,67.86,517962962963,3773,Boomers,2136440,0.054,75175592
Russian Federation,1991,Male,55-74 years,6566,9894400,66.36,517962962963,3773,Silent,2136440,0.054,75175592
Russian Federation,1991,Male,25-34 years,6901,12157500,56.76,517962962963,3773,Boomers,2136440,0.054,75175592
Russian Federation,1991,Female,75+ years,1510,4831000,31.26,517962962963,3773,G.I. Generation,2136440,0.000,75175592
Russian Federation,1991,Male,15-24 years,2984,10112700,29.51,517962962963,3773,Generation X,2136440,0.054,75175592
Russian Federation,1991,Female,55-74 years,2926,15781500,18.54,517962962963,3773,Silent,2136440,0.000,75175592
Russian Federation,1991,Female,35-54 years,2429,19987200,12.15,517962962963,3773,Boomers,2136440,0.000,75175592
Russian Federation,1991,Female,25-34 years,888,11901200,7.46,517962962963,3773,Boomers,2136440,0.000,75175592
Russian Federation,1991,Female,15-24 years,642,9697300,6.62,517962962963,3773,Generation X,2136440,0.000,75175592
Russian Federation,1991,Male,5-14 years,298,11561800,2.58,517962962963,3773,Millenials,2136440,0.054,75175592
Russian Federation,1991,Female,5-14 years,65,11204500,0.58,517962962963,3773,Millenials,2136440,0.000,75175592
Russian Federation,1992,Male,75+ years,1233,1340500,91.98,460290556901,3333,G.I. Generation,2030810,0.054,75761461
Russian Federation,1992,Male,35-54 years,15824,18933500,83.58,460290556901,3333,Boomers,2030810,0.054,75761461
Russian Federation,1992,Male,55-74 years,8014,10319200,77.66,460290556901,3333,Silent,2030810,0.054,75761461
Russian Federation,1992,Male,25-34 years,7958,11773600,67.59,460290556901,3333,Boomers,2030810,0.054,75761461
Russian Federation,1992,Male,15-24 years,3447,10235100,33.68,460290556901,3333,Generation X,2030810,0.054,75761461
Russian Federation,1992,Female,75+ years,1458,4741300,30.75,460290556901,3333,G.I. Generation,2030810,0.000,75761461
Russian Federation,1992,Female,55-74 years,3133,16206600,19.33,460290556901,3333,Silent,2030810,0.000,75761461
Russian Federation,1992,Female,35-54 years,2768,20093200,13.78,460290556901,3333,Boomers,2030810,0.000,75761461
Russian Federation,1992,Female,25-34 years,990,11561000,8.56,460290556901,3333,Boomers,2030810,0.000,75761461
Russian Federation,1992,Female,15-24 years,704,9791500,7.19,460290556901,3333,Generation X,2030810,0.000,75761461
Russian Federation,1992,Male,5-14 years,318,11747200,2.71,460290556901,3333,Millenials,2030810,0.054,75761461
Russian Federation,1992,Female,5-14 years,76,11376200,0.67,460290556901,3333,Millenials,2030810,0.000,75761461
Russian Federation,1993,Male,35-54 years,20256,18908000,107.13,435083713851,3160,Boomers,1880250,0.522,73935343
Russian Federation,1993,Male,75+ years,1364,1302200,104.75,435083713851,3160,G.I. Generation,1880250,0.522,73935343
Russian Federation,1993,Male,55-74 years,10118,10681300,94.73,435083713851,3160,Silent,1880250,0.522,73935343
Russian Federation,1993,Male,25-34 years,9328,11260400,82.84,435083713851,3160,Boomers,1880250,0.522,73935343
Russian Federation,1993,Male,15-24 years,4347,10306400,42.18,435083713851,3160,Generation X,1880250,0.522,73935343
Russian Federation,1993,Female,75+ years,1468,4615000,31.81,435083713851,3160,G.I. Generation,1880250,1.000,73935343
Russian Federation,1993,Female,55-74 years,3433,16579000,20.71,435083713851,3160,Silent,1880250,1.000,73935343
Russian Federation,1993,Female,35-54 years,3163,20012400,15.81,435083713851,3160,Boomers,1880250,1.000,73935343
Russian Federation,1993,Female,25-34 years,1154,11063800,10.43,435083713851,3160,Boomers,1880250,1.000,73935343
Russian Federation,1993,Female,15-24 years,785,9824100,7.99,435083713851,3160,Generation X,1880250,1.000,73935343
Russian Federation,1993,Male,5-14 years,337,11763700,2.86,435083713851,3160,Millenials,1880250,0.522,73935343
Russian Federation,1993,Female,5-14 years,93,11376500,0.82,435083713851,3160,Millenials,1880250,1.000,73935343
Russian Federation,1994,Male,35-54 years,22338,19044200,117.3,395077301248,2853,Boomers,1685050,2.129,71995898
Russian Federation,1994,Male,75+ years,1412,1281400,110.19,395077301248,2853,G.I. Generation,1685050,2.129,71995898
Russian Federation,1994,Male,55-74 years,11431,11006300,103.86,395077301248,2853,Silent,1685050,2.129,71995898
